name,title_el,title_en,description_el,description_en,logo_url
nasa,NASA,NASA,"Η NASA είναι κρατικός αμερικάνικος οργανισμός που ασχολείται με την εξερεύνηση του διαστήματος, την αεροναυτική και τη μελέτη του περιβάλλοντος της Γης. Ιδρύθηκε στις 29 Ιουλίου του 1958 με την Πράξη Εθνικής Αεροναυτικής και Διαστήματος. Η έδρα της NASA βρίσκεται στην Ουάσινγκτον, ενώ όλες οι εκτοξεύσεις των επανδρωμένων και μη επανδρωμένων διαστημοπλοίων της πραγματοποιούνται στο διαστημικό κέντρο Κένεντι.",The National Aeronautics and Space Administration (NASA) is the United States government agency that is responsible for the civilian space program as well as for aeronautics and aerospace research.,organizations/nasa_logo.jpg
apd-hpdm,Αποκεντρωμένη Διοίκηση Ηπείρου - Δυτικής Μακεδονίας,Decentralized Administration of Epirus and Western Macedonia,"Η Αποκεντρωμένη Διοίκηση Ηπείρου - Δυτικής Μακεδονίας εκτείνεται στα όρια των Περιφερειών Ηπείρου και Δυτικής Μακεδονίας, με έδρα τα Ιωάννινα, απαρτίζεται δε από 8 Περιφερειακές Ενότητες & 30 Δήμους.",,organizations/apok_dioik-hpeirou-dyt_mak.png
apd-depin,"Αποκεντρωμένη Διοίκηση Πελοποννήσου, Δυτικής Ελλάδας και Ιονίου","Decentralized Administration of Peloponnese, Western Greece and the Ionian","Η Αποκεντρωμένη Διοίκηση Πελοποννήσου, Δυτικής Ελλάδας και Ιονίου είναι μία από τις εφτά ενιαίες αποκεντρωμένες διοικήσεις της Ελλάδας. Αποτελεί βαθμίδα της ελληνικής δημόσιας διοίκησης και συστήθηκε την 1η Ιανουαρίου 2011, σύμφωνα με τη νέα διοικητική διαίρεση της χώρας.

Στα όρια της περιλαμβάνει τις περιφέρειες Πελοποννήσου, Δυτικής Ελλάδας και Ιονίων Νήσων, με τους νομούς Αργολίδας, Αρκαδίας, Κορινθίας, Λακωνίας, Μεσσηνίας, Αιτωλοακαρνανίας, Αχαΐας, Ηλείας, Κέρκυρας, Κεφαλληνίας, Λευκάδας και Ζακύνθου. Γεωγραφικά περιλαμβάνει την Πελοπόννησο, τη δυτική Στερεά Ελλάδα και τα Επτάνησα εκτός των Κυθήρων. Έδρα της αποκεντρωμένης διοίκησης είναι η Πάτρα που αποτελεί και την μεγαλύτερη σε πληθυσμό πόλη.",,organizations/emblem.png
gga,Γενική Γραμματεία Αθλητισμού,General Secretariat for Sports,"Έργο της Γενικής Γραμματείας Αθλητισμού (Γ.Γ.Α.) είναι ο στρατηγικός σχεδιασμός και η εφαρμογή της αθλητικής πολιτικής της χώρας, στο πλαίσιο της συνταγματικής υποχρέωσης του κράτους για την προστασία, ανώτατη εποπτεία και οικονομική στήριξη του αθλητισμού. Ειδικότερα, αποστολή της Γ.Γ.Α. είναι:

α)Η πρόληψη και διασφάλιση της υγείας του αθλητή και αθλούμενου.

β)Η συστηματική καλλιέργεια, διάδοση και εμπέδωση στην κοινωνική συνείδηση του αθλητικού πνεύματος και των αξιών του Ολυμπισμού και η διάδοσή τους σε εθνικό και διεθνές επίπεδο με κάθε πρόσφορο μέσο.

γ)Η επιστημονική τεκμηρίωση των αθλητικών αναγκών της χώρας και η αποτύπωσή τους σε στρατηγική αθλητική πολιτική, που εφαρμόζεται με επιχειρησιακά προγράμματα δράσεις, ενέργειες και έργα.

δ)Η θεσμική, επιστημονική, υλικοτεχνική και οικονο μική στήριξη των εποπτευομένων δημοσίων και ιδιωτικών  αθλητικών φορέων (Ν.Π.), ώστε να εξασφαλίζεται αποτελεσματικότητα, αποδοτικότητα και ποιότητα στο παραγόμενο αθλητικό έργο τους.

ε) Η εποπτεία και ο έλεγχος των πάσης φύσεως προσώπων ή φορέων που διέπονται από την αθλητική πολιτική της χώρας σύμφωνα με τις εκάστοτε ισχύουσες διατάξεις και η αξιολόγηση της δράσης τους με βάση τον εκάστοτε διαμορφούμενο στρατηγικό σχεδιασμό και προγραμματισμό της αθλητικής πολιτικής.",,organizations/minedu.png
civilprotection,Γενική Γραμματεία Πολιτικής Προστασίας,General Secretariat for Civil Protection,"Η Γενική Γραμματεία Πολιτικής Προστασίας (ΓΓΠΠ) είναι φορέας του Ελληνικού κράτους, ο οποίος υπάγεται στο Υπουργείο Εσωτερικών. Συστάθηκε το 1995 με τον ν. 2344/1995. 

Αποστολή :

Μελέτη-Σχεδιασμός
1.Επεξεργασία, σχεδιασμός πολιτικής για την πολιτική προστασία  
2.Εισήγηση στο Υπ. Δημ. Τάξης & ΠτΠ μέτρων σχεδιασμού και υλοποίησης  πολιτικής προστασίας
3.Σύνταξη κανονισμών, κατάρτιση προδιαγραφών για πρόληψη καταστροφών σε συνεργασία με υπουργεία και άλλους φορείς
4.Επιστημονική τεκμηρίωση/υποστήριξη προγραμμάτων, σχεδίων, δράσεων
5.Έγκριση Νομαρχιακών και Τοπικών σχεδίων
6.Κατάρτιση, ετήσιου προγρ προμηθειών μέσων/υλικών πολιτικής προστασίας βάση του Εθνικού Σχεδιασμού Πολιτικής Προστασίας σε συνεργασία με άλλους φορείς  
7.Εισήγηση στον Υπ. Εσωτερικών για κατανομή των πιστώσεων πολιτικής προστασίας προς τους ΟΤΑ α΄ και β΄ βαθμού
8.Εκπόνηση και εκτέλεση προγραμμάτων εκπαίδευσης/κατάρτισης  στελεχών πολιτικής προστασίας σε κεντρικό και περιφερειακό επίπεδο, σε συνεργασία με αρμόδιους φορείς
9.Τήρηση Μητρώου Εθελοντικών Οργανώσεων και Ειδικευμένων Εθελοντών. Ένταξη, αξιολόγηση, χρηματοδότηση.
10.Ειδικά προγράμματα εκπαίδευσης/κατάρτισης μελών εθελοντικών οργανώσεων
11.Εκπαιδευτικά προγράμματα στην Α΄ και  Β΄ βάθμιας εκπαίδευσης
12.Προπτυχιακά και μεταπτυχιακά προγράμματα σπουδών ΑΕΙ
13.Έγκριση και χρηματοδότηση προγραμμάτων εφαρμοσμένης έρευνας/μελετών
14.Ανάπτυξη κέντρου τεκμηρίωσης θεμάτων πολιτικής προστασίας 
15. Λειτουργία του 112
 
Οργάνωση-Συντονισμός
1.Προετοιμασία, κινητοποίηση και συντονισμός της δράσης πολιτικής προστασίας.
2.Πρόληψη καταστροφών
3.Προετοιμασία δυναμικού και μέσων
4.Κινητοποίηση δυναμικού και μέσων: ετοιμότητα – αντιμετώπιση
5.Οργανωμένη απομάκρυνση πολιτών
6.Επιχειρησιακή ένταξη Ειδικευμένων Εθελοντών του Μητρώου της ΓΓΠΠ
7.Αποκατάσταση των ζημιών
8.Πληροφόρηση και ευαισθητοποίηση των πολιτών - παροχή ειδικών οδηγιών
9.Παροχή επιστημονικής και υλικής βοήθειας προς άλλες χώρες/αξιοποίηση παρόμοιας βοήθειας για τη χώρα σε περίπτωση καταστροφής
 
  
Διεθνείς Σχέσεις
1.Προώθηση των σχέσεων της χώρας με Διεθνής Οργανισμούς και Φορείς πολιτικής προστασίας άλλων χωρών.
2.Υποβολή αιτήματος για διεθνή συνδρομή
 
Μονάδες με Ειδική Λειτουργία
 
Υποστηρικτική Ομάδα Διαχείρισης Χημικών,Βιολογικών,Ραδιολογικών και Πυρηνικών Απειλών και Συμβάντων
Με τον Ν. 3491/2006, άρθρο 15, συστάθηκε στη Γενική Γραμματεία Πολιτικής Προστασίας, διυπουργική ομάδα η οποία υπάγεται απευθείας στον Γενικό Γραμματέα Πολιτικής Προστασίας και αποτελεί Επιτελικό Συμβουλευτικό Όργανο, το οποίο υποστηρίζει σε επίπεδο τακτικό, επιχειρησιακό και πολιτικό τις αρμόδιες δυνάμεις και όργανα πολιτικής προστασίας, με την παροχή επιστημονικών πληροφοριών και εξειδικευμένης τεχνογνωσίας για τη διαχείριση Χημικών, Βιολογικών, Ραδιολογικών & Πυρηνικών Απειλών & Συμβάντων
   
Η Υποστηρικτική Ομάδα στελεχώνεται από υπαλλήλους ΠΕ κατάλληλου κλάδου για την αντιμετώπιση Χημικών, Βιολογικών, Ραδιολογικών & Πυρηνικών Απειλών & Συμβάντων της Γενικής Γραμματείας Πολιτικής Προστασίας, του Υπουργείου Υγείας & Κ.Α, του ΥΠΕΧΩΔΕ, του Υπ. Αγροτικής Ανάπτυξης & Τροφίμων, του Γενικού Χημείου του Κράτους, της Ελληνικής Επιτροπής Ατομικής Ενέργειας, της Εθνικής Μετεωρολογικής Υπηρεσίας και από επιστημονικό ή κατάλληλα εκπαιδευμένο προσωπικό του Λιμενικού Σώματος, της Ελληνικής Αστυνομίας, του Πυροσβεστικού Σώματος και του Γενικού Επιτελείου Εθνικής Άμυνας. Από κάθε φορέα ορίζονται 4 εκπρόσωποι. (ΥΑ 7270/2006).
 
Η Υποστηρικτική Ομάδα συγκαλείται από τον Γενικό Γραμματέα Πολιτικής Προστασίας σε τακτικές και έκτακτες συνεδριάσεις. Οι τακτικές συνεδριάσεις πραγματοποιούνται εντός ωραρίου εργασίας και αφορούν στην καλύτερη οργάνωση και προετοιμασία της ομάδας. Οι έκτακτες συνεδριάσεις αφορούν στη σύγκληση της ομάδας για τη διαχείριση συμβάντος ή απειλούμενου συμβάντος στο οποίο εμπλέκονται χημικοί, βιολογικοί ή/ και ραδιολογικοί παράγοντες. Οι έκτακτες συνεδριάσεις μπορεί να γίνονται και εκτός ωραρίου εργασίας και σε εξαιρέσιμες ημέρες και μπορεί να είναι διαρκείς συνεδριάσεις ανάλογα με την ένταση ή την έκταση του συμβάντος που έχει κληθεί να διαχειριστεί. Σε περίπτωση διαρκούς συνεδρίασης οι εκπρόσωποι των φορέων που συμμετέχουν στην Ομάδα μπορούν να εναλλάσσονται σε βάρδιες. Η λήξη της συνεδρίασης της Ομάδας γίνεται από τον Γενικό Γραμματέα Πολιτικής Προστασίας.
  
Η Υποστηρικτική Ομάδα μπορεί να συνεδριάζει σε απαρτία με τη συμμετοχή εκπροσώπων όλων των φορέων ή μερικώς ανάλογα με το είδος της απειλής ή του συμβάντος.
 
 
Ομάδες Αναγνώρισης Θυμάτων Καταστροφών
Με το άρθρο 23 του Ν.3448/2006 συστάθηκαν στη Γενική Γραμματεία Πολιτικής Προστασίας, Ομάδες Αναγνώρισης Θυμάτων Καταστροφών οι οποίες έχουν ως αποστολή την αναγνώριση και ταυτοποίηση των θυμάτων από ατυχήματα, καταστροφές και εγκληματικές και τρομοκρατικές ενέργειες. Οι ομάδες αυτές αποτελούνται από ειδικευμένο ιατρικό προσωπικό, εμπειρογνώμονες και αξιωματικούς της Ελληνικής Αστυνομίας και μπορούν να αποστέλονται και σε άλλες χώρες κατόπιν σχετικού αιτήματος και με Απόφαση του Υπουργού Εσωτερικών",,organizations/ggpp.jpg
mun-andravida-killini,Δήμος Ανδραβίδας - Κυλλήνης,Municipality of Andravida-Kyllini,"Ο Δήμος Ανδραβίδας - Κυλλήνης είναι δήμος της Δυτικής Ελλάδας που συστάθηκε με το Πρόγραμμα Καλλικράτης από την συνένωση των προϋπαρχόντων δήμων Ανδραβίδας, Βουπρασίας, Κάστρου – Κυλλήνης και Λεχαινών. Η έκταση του νέου Δήμου είναι 354,12 τ.χλμ και ο πληθυσμός του 21.581 κάτοικοι σύμφωνα με την απογραφή του 2011. Έδρα του δήμου ορίστηκαν τα Λεχαινά και ιστορική έδρα η Βάρδα.",,organizations/emblem.png
mun-dirfion-messapion,Δήμος Διρφύων - Μεσσαπίων,Municipality of Dirfys-Messapia,"Ο Δήμος Διρφύων - Μεσσαπίων είναι δήμος της περιφέρειας Στερεάς Ελλάδας που συστάθηκε με το Πρόγραμμα Καλλικράτης από την συνένωση των προϋπαρχόντων δήμων Διρφύων και Μεσσαπίων . Η έκταση του νέου Δήμου είναι 779.86 km2 και ο πληθυσμός του 18.800 κάτοικοι σύμφωνα με την απογραφή του 2011. Έδρα του δήμου είναι τα Ψαχνά. Στα βόρεια, ο ο δήμος συνορεύει με το Δήμο Μαντουδίου - Λίμνης - Αγίας Άννας, νότια με το Δήμο Χαλκιδέων, νοτιοανατολικά με το Δήμο Ερέτριας και ανατολικά-νότια με το Δήμο Κύμης - Αλιβερίου.",,organizations/12450111020115344_b_dimos-dirfyon.jpg
mun-thessaloniki,Δήμος Θεσσαλονίκης,Municipality of Thessaloniki,"Ο Δήμος Θεσσαλονίκης είναι ο δεύτερος σε πληθυσμό δήμος της Ελλάδας μετά τον Δήμο Αθηναίων και με βάση την απογραφή του 2011 έχει μόνιμο πληθυσμό 324.766 κατοίκους[1]. Καταλαμβάνει κυρίως την κεντρική έκταση της πόλης της Θεσσαλονίκης με το ιστορικό της κέντρο και τις περιοχές γύρω από αυτό, καθώς και τις συνοικίες που εκτείνονται προς τα ανατολικά της πόλης. Στην έκταση του Δήμου Θεσσαλονίκης βρίσκονται τα κυριότερα αξιοθέατα και μνημεία της Θεσσαλονίκης. Ο Δήμος διοργανώνει πολιτιστικές εκδηλώσεις όπως τα Δημήτρια.",,organizations/thessaloniki.png
mun-kalamaria,Δήμος Καλαμαριάς,Municipality of Kalamaria,"Η Καλαμαριά είναι περιοχή και ομώνυμος Δήμος της Θεσσαλονίκης. Βρίσκεται στο νοτιοανατολικό τμήμα του πολεοδομικού συγκροτήματος της πόλης και η περίμετρός της βρέχεται κατά τα 2/3 από θάλασσα. Είναι ο δεύτερος μεγαλύτερος δήμος (με πληθυσμό 91.279 από το 2011) του Πολεοδομικού Συγκροτήματος Θεσσαλονίκης, καθώς και ένας από τους μεγαλύτερους στην Ελλάδα, με αύξηση του πληθυσμού κατά 13% από την απογραφή του 1991.",,organizations/dimos-kalamarias.png
mun-lagada,Δήμος Λαγκαδά,Municipality of Lagadas,"Ο νέος Δήμος Λαγκαδά είναι δήμος της Περιφέρειας Κεντρικής Μακεδονίας που συστάθηκε με το Πρόγραμμα Καλλικράτης από την συνένωση των προϋπαρχόντων δήμων Σοχού, Ασσήρου, Καλλινδοίων, Κορώνειας, Βερτίσκου, Λαγκαδά και Λαχανά. Η έκταση του νέου Δήμου Λαγκαδά είναι 1220.3 τ.χλμ και ο πληθυσμός του 42.622 κάτοικοι σύμφωνα με την απογραφή του 2001. Έδρα του νέου δήμου ορίστηκε ο Λαγκαδάς και ιστορική έδρα ο Λαχανάς. Είναι ο δέκατος μεγαλύτερος σε έκταση δήμος της Ελλάδας, με 1.223 τ.χ.",,organizations/logo_lagadas.gif
